"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-10,107,229.8,13.3,9,19.95,4.3,32.3,39,45,54,12,16,19,12,15,19,36,8,28,10,1268,11.94
2015-09-11,107,351.2,15.3,13.5,22.95,1.8,11.8,39,46,58,13,19,33,12,21,36,44,6,38,10,1263,12.29
2015-09-12,107,294.6,12.9,10.6,19.35,2.3,17.8,39,43,53,14,20,33,13,20,34,10,4,6,10,1399,2.85
2015-09-13,107,302.7,13.2,11.1,19.8,2.1,15.9,39,45,53,15,24,41,14,24,40,12,6,6,10,1389,3.54
2015-09-14,107,387.7,15.3,13.8,22.95,1.5,9.8,39,47,56,18,23,30,18,24,32,39,4,35,10,1389,3.54
2015-09-15,107,373.9,15.6,13.4,23.4,2.2,14.1,40,45,56,17,20,26,16,20,26,31,7,24,10,1333,7.43
2015-09-16,107,501.1,21.8,19,32.7,2.8,12.8,35,48,60,15,21,33,14,22,37,42,10,32,10,1336,7.22
2015-09-17,107,629,24.9,23.6,37.35,1.3,5.2,40,46,56,14,18,25,14,19,27,38,12,26,10,1384,3.89
2015-09-18,107,402.6,17.1,14.5,25.65,2.6,15.2,40,46,57,13,19,34,13,21,37,51,7,44,10,1421,1.32
2015-09-19,107,182.5,7.9,6.3,11.85,1.6,20.3,38,45,55,13,22,39,12,23,40,11,2,9,10,1375,4.51
2015-09-20,107,385.1,15.7,13.7,23.55,2,12.7,39,44,52,15,22,37,15,22,38,17,6,11,10,1394,3.19
2015-09-21,107,302.8,14.7,11.7,22.05,3,20.4,41,47,57,15,19,26,14,19,27,52,9,43,10,1389,3.54
2015-09-22,107,357.4,14.5,12.5,21.75,2,13.8,37,46,58,14,22,36,14,22,36,31,6,25,10,1385,3.82
2015-09-23,107,503.5,20.7,18.4,31.05,2.3,11.1,38,46,59,13,21,38,13,23,41,46,11,35,10,1309,9.1
2015-09-24,107,251.9,11.1,8.6,16.65,2.5,22.5,38,46,54,14,21,36,13,22,36,13,5,8,10,1416,1.67
2015-09-25,107,287.1,13.5,10.9,20.25,2.6,19.3,42,49,59,14,22,36,14,24,40,49,5,44,10,1416,1.67
2015-09-26,107,349.7,13.1,10.9,19.65,2.2,16.8,36,43,48,15,17,20,15,17,19,11,7,4,10,1411,2.01
2015-09-27,107,158,10.1,6.1,15.15,4,39.6,40,48,55,13,18,30,13,19,36,11,3,8,10,1415,1.74
2015-09-28,107,398.8,15.9,14.3,23.85,1.6,10.1,38,45,56,12,20,30,12,20,31,32,7,25,10,1383,3.96
2015-09-29,107,425.8,18,15.9,27,2.1,11.7,38,45,55,12,18,25,12,18,26,39,9,30,10,1399,2.85
2015-09-30,107,385,16.2,14.2,24.3,2,12.3,38,44,55,11,16,21,11,16,21,29,6,23,10,1351,6.18
2015-10-01,107,306.3,13.7,11.1,20.55,2.6,19,37,45,55,11,19,33,10,20,36,22,4,18,10,1403,2.57
2015-10-02,107,225.7,10.6,8.4,15.9,2.2,20.8,38,47,59,10,19,35,10,21,38,44,4,40,10,1411,2.01
2015-10-03,107,42.1,3.5,1.5,5.25,2,57.1,37,42,49,14,18,22,13,17,22,8,1,7,10,1426,0.97
2015-10-04,107,104.3,5.4,3.6,8.1,1.8,33.3,37,44,52,13,20,38,12,21,39,13,3,10,10,1415,1.74
