"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","energy_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-12,108,149.859,8.55623,7.0455915724932,1.5106384275068,50,55.5692307692308,62,14,21.0307692307692,29,12,17.6405594405594,26,9,5,4,10,1430,0.694444444444443
2015-09-13,108,354.852,21.180454,15.5787962478021,5.60165775219792,46,55.3233240223464,63,16,23.0810055865922,34,13,20.9189944134078,35,17,5,12,10,1432,0.555555555555557
2015-09-14,108,161.392,13.754425,8.52755993280247,5.22686506719753,53,59.8774373259053,70,16,24.5933147632312,41,15,19.7493036211699,28,9,5,4,10,1436,0.277777777777771
2015-09-15,108,80.8107,8.0788,4.769991166,3.308808834,62,65.6027777777778,72,16,23.4638888888889,41,13,16.9840277777778,22,14,4,10,10,1440,0
2015-09-16,108,111.573,10.001,6.53942208145079,3.46157791854921,61,65.7177871148459,72,14,22.063025210084,36,11,17.8634453781513,29,18,4,14,10,1428,0.833333333333329
2015-09-17,108,120.219,10.5455,7.27117122130712,3.27432877869288,62,65.6524475524476,72,15,22.4377622377622,41,11,17.1,28,13,3,10,10,1430,0.694444444444443
2015-09-18,108,108.112,9.74178,6.56555535698078,3.17622464301922,62,65.6830639494027,73,15,23.2825017568517,43,11,17.709065354884,29,13,4,9,10,1423,1.18055555555556
2015-09-19,108,55.676,6.898293,3.30932418658667,3.58896881341333,63,65.6173611111111,72,10,25.5770833333333,41,10,19.6173611111111,33,9,2,7,10,1440,0
2015-09-20,108,157.052,11.860716,8.96638896741198,2.89432703258802,58,65.5884401114206,71,17,24.6114206128134,36,12,20.1970752089136,38,15,7,8,10,1436,0.277777777777771
2015-09-21,108,83.0293,8.22051,4.90938387866799,3.31112612133201,63,65.4860917941586,72,17,24.1474269819193,39,13,18.7719054242003,28,7,3,4,10,1438,0.138888888888886
2015-09-22,108,71.3653,7.36286,4.23107452320286,3.13178547679714,63,65.679298245614,72,16,24.9284210526316,45,13,20.3635087719298,35,10,3,7,10,1425,1.04166666666666
2015-09-23,108,109.853,9.63855,6.01689089034921,3.62165910965079,62,65.2602930914166,70,12,24.6475924633636,40,12,21.2128401953943,36,20,2,18,10,1433,0.486111111111114
2015-09-24,108,118.843,9.71538,6.85703467281212,2.85834532718788,53,65.3057678943711,74,16,26.0132036136206,38,12,20.6101459346769,35,13,5,8,10,1439,0.0694444444444429
2015-09-25,108,91.3027,7.78789,5.35050235124103,2.43738764875897,63,65.8573426573427,73,15,26.4216783216783,48,14,21.5384615384615,37,12,3,9,10,1430,0.694444444444443
2015-09-26,108,107.829,9.96504,6.4249702105316,3.5400697894684,62,65.7108013937282,73,16,22.6829268292683,38,14,16.5142857142857,21,6,5,1,10,1435,0.347222222222214
2015-09-27,108,71.5013,8.611026,4.25331146742063,4.35771453257937,63,65.6432545201669,72,15,22.3331015299026,39,11,16.3706536856745,30,6,3,3,10,1438,0.138888888888886
2015-09-28,108,78.4707,7.650982,4.54634017941414,3.10464182058586,63,65.854748603352,72,13,23.4713687150838,40,10,18.5076815642458,32,9,3,6,10,1432,0.555555555555557
2015-09-29,108,34.2187,6.23343,2.11214552093827,4.12128447906173,63,65.6263888888889,73,14,24.4854166666667,38,11,15.9215277777778,24,3,1,2,10,1440,0
2015-09-30,108,57.932,6.69296,3.40805653181482,3.28490346818519,63,65.4659649122807,72,15,20.4610526315789,28,9,14.6631578947368,22,10,1,9,10,1425,1.04166666666666
2015-10-01,108,79.616,11.856034,4.66416722493519,7.19186677506481,63,65.506629448709,72,11,24.0355896720167,37,8,18.5757152826239,35,2,2,0,10,1433,0.486111111111114
2015-10-02,108,36.6867,5.4359,2.23975143864198,3.19614856135802,63,65.5167597765363,70,11,25.0537709497207,43,8,17.856843575419,33,2,1,1,10,1432,0.555555555555557
2015-10-03,108,44.696,6.0127,2.71540212712522,3.29729787287478,63,65.6120027913468,72,18,24.4193998604327,37,13,16.3503140265178,23,2,2,0,10,1433,0.486111111111114
2015-10-04,108,101.931,9.62541,5.94854978716667,3.67686021283333,63,65.8871758934828,72,18,23.9383321653819,33,14,19.0777855641205,32,10,4,6,10,1427,0.902777777777771
2015-10-05,108,20.2987,5.098561,1.23255061333333,3.86601038666667,63,65.4513888888889,73,17,26.7958333333333,37,14,20.85625,33,3,1,2,10,1440,0
