"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-02,109,188.6,10.1,8.5,15.15,1.6,15.8,48,55,62,14,19,25,15,20,26,15,3,12,10,1363,5.35
2015-09-03,109,80.9,6.6,4.1,9.9,2.5,37.9,52,56,63,15,21,28,16,22,30,14,2,12,10,1413,1.88
2015-09-04,109,87.2,6.6,4,9.9,2.6,39.4,53,56,61,15,21,31,15,23,34,12,2,10,10,1401,2.71
2015-09-05,109,113.5,6.8,5,10.2,1.8,26.5,51,56,61,16,23,34,16,24,37,14,3,11,10,1335,7.29
2015-09-06,109,121.5,7.7,5.5,11.55,2.2,28.6,51,56,62,19,22,28,19,23,30,17,2,15,10,1236,14.17
2015-09-07,109,114.2,7.5,5.4,11.25,2.1,28,53,56,61,18,20,25,18,21,27,13,2,11,10,1269,11.88
2015-09-08,109,149.6,8.6,7.1,12.9,1.5,17.4,53,56,62,16,20,28,16,21,29,18,4,14,10,1188,17.5
2015-09-09,109,87.6,7.1,4.1,10.65,3,42.3,52,56,61,15,19,25,15,20,26,15,2,13,10,1292,10.28
2015-09-10,109,108,8,5.1,12,2.9,36.2,52,56,61,15,18,20,16,18,21,11,3,8,10,1235,14.24
2015-09-11,109,104.5,6.6,5.2,9.9,1.4,21.2,53,56,64,15,20,29,15,21,31,16,3,13,10,1278,11.25
2015-09-12,109,95.6,4.9,4.2,7.35,0.7,14.3,47,54,59,17,20,25,17,21,27,12,2,10,10,1220,15.28
2015-09-13,109,123.6,9.3,5.9,13.95,3.4,36.6,42,52,63,17,22,31,18,24,32,19,2,17,10,1242,13.75
2015-09-14,109,98.1,8.6,4.7,12.9,3.9,45.3,51,58,67,19,21,24,20,22,25,13,2,11,10,1272,11.67
2015-09-15,109,165,11.8,9.3,17.7,2.5,21.2,59,63,69,17,20,22,18,20,23,23,6,17,10,1276,11.39
2015-09-16,109,74.7,6.9,4.1,10.35,2.8,40.6,60,63,69,16,20,27,17,21,29,15,2,13,10,1274,11.53
2015-09-17,109,87.9,7.7,4.8,11.55,2.9,37.7,60,63,70,16,20,26,17,21,28,13,2,11,10,1287,10.62
2015-09-18,109,79.3,7,4.3,10.5,2.7,38.6,59,63,69,16,21,28,17,22,29,11,3,8,10,1193,17.15
2015-09-19,109,102.8,9.3,5.6,13.95,3.7,39.8,59,64,70,16,22,30,17,23,33,19,3,16,10,1176,18.33
2015-09-20,109,85,7,4.7,10.5,2.3,32.9,59,64,70,18,22,31,19,24,33,20,2,18,10,1320,8.33
2015-09-21,109,85.8,5.7,4.7,8.55,1,17.5,60,63,68,19,20,23,20,21,25,7,2,5,10,557,61.32
2015-09-22,109,2.4,1.9,0.1,2.85,1.8,94.7,61,64,69,19,24,30,20,24,31,4,0,4,10,652,54.72
2015-09-23,109,64.9,6.8,3.5,10.2,3.3,48.5,59,63,70,17,22,31,18,23,33,9,2,7,10,1270,11.81
2015-09-24,109,110.5,8.7,6.2,13.05,2.5,28.7,59,63,71,17,22,28,18,23,30,15,2,13,10,1386,3.75
2015-09-25,109,91.7,8.1,5.1,12.15,3,37,59,64,70,19,23,31,19,24,32,11,2,9,10,1385,3.82
2015-09-26,109,106.4,7.3,5,10.95,2.3,31.5,50,61,66,18,21,23,19,21,23,4,2,2,10,113,92.15
2015-09-27,109,73.1,6.6,3.7,9.9,2.9,43.9,59,62,66,17,19,25,17,20,25,7,1,6,10,84,94.17
2015-09-28,109,98.2,7.7,5.3,11.55,2.4,31.2,59,64,69,16,22,28,16,24,30,11,3,8,10,924,35.83
2015-09-29,109,136.7,10.8,7.5,16.2,3.3,30.6,59,63,69,17,19,23,17,20,26,24,2,22,10,1173,18.54
2015-09-30,109,74.2,7.1,4.1,10.65,3,42.3,59,63,69,16,19,22,16,19,23,11,2,9,10,1231,14.51
2015-10-01,109,98.4,8.3,5.4,12.45,2.9,34.9,59,63,68,14,21,29,15,22,31,12,3,9,10,1341,6.88
